"tract","Name","Foreign-Born_Share_in_2012-16"
12086002705,"Edgewater, Miami, FL",0.4789
12086004406,"West Avenue, Miami Beach, FL",0.477
12086003703,"Downtown Miami, Miami, FL",0.4704
12086002004,"Little Haiti, Miami, FL",0.4697
12086003707,"Downtown Miami, Miami, FL",0.4657
12086002703,"Edgewater, Miami, FL",0.4628
12086006101,"Granada, Coral Gables, FL",0.457
12086006711,"Brickell, Miami, FL",0.4527
12086006713,"Brickell, Miami, FL",0.4476
12086002201,"Little Haiti, Miami, FL",0.4455
12086000411,"Miami, FL",0.4444
12086001103,"Miami, FL",0.4406
12086004301,"West Avenue, Miami Beach, FL",0.4379
12086007606,"Miami, FL",0.437
12086003804,"Surfside, FL",0.4353
12086001102,"Miami Shores, FL",0.435
12086004500,"South Pointe, Miami, FL",0.4347
12086000903,"Miami, FL",0.434
12086003706,"Downtown Miami, Miami, FL",0.4299
12086002502,"Allapattah, Miami, FL",0.4294
12086007605,"Miami, FL",0.4278
12086006702,"Brickell, Miami, FL",0.4277
12086001006,"Miami, FL",0.4273
12086003918,"North Bay Village, FL",0.4243
12086007400,"Riviera, Coral Gables, FL",0.4235
12086000503,"Opa-locka, FL",0.4216
12086003601,"Overtown, Miami, FL",0.4075
12086002202,"Little Haiti, Miami, FL",0.4008
12086006102,"Coral Gables Section, Coral Gables, FL",0.3976
12086003801,"Bay Harbor Islands, FL",0.392
12086004102,"Venetian Islands, Miami Beach, FL",0.3882
12086000412,"Miami, FL",0.3871
12086002001,"Little River, Miami, FL",0.3834
12086003702,"Downtown Miami, Miami, FL",0.3718
12086004000,"Nautilus, Miami Beach, FL",0.3718
12086002003,"Little Haiti, Miami, FL",0.3704
12086004701,"Miami Springs, FL",0.3701
12086001302,"Upper East Side, Miami, FL",0.3661
12086002100,"Upper East Side, Miami, FL",0.363
12086001401,"Little Haiti, Miami, FL",0.3609
12086003001,"Overtown, Miami, FL",0.3589
12086007104,"Coconut Grove, Miami, FL",0.3472
12086007601,"Miami, FL",0.3415
12086000408,"Miami, FL",0.3393
12086001104,"Miami Shores, FL",0.3218
12086007501,"Riviera, Coral Gables, FL",0.3163
